system,schema,query,framework,theta,overhead,sql_s,orm_s,rows,blocks
postgresql,indexed,Q15,django,0.6546669676714977,92.45014894285417,0.346346,0.667145,1,8
oracle,indexed,Q15,django,0.7264547478881578,106.77369490199536,0.7701915,1.6315214999999998,1,8
oracle,indexed,Q15,sqlalchemy,0.9004519815143541,146.0715057566522,0.7687269999999999,1.933506,1,8
postgresql,indexed,Q17,django,-0.8770041878290438,-58.3972613447568,1.2871885,0.538689,1,8
oracle,indexed,Q17,django,0.1426942182220912,15.337706604884113,0.046522999999999995,0.053681,1,8
oracle,non-indexed,Q17,django,6.631997762891709,75799.69529976402,0.7333605,560.952931,1,8
oracle,indexed,Q20,django,-1.4440545834190304,-76.4030939804856,0.8722295,0.206575,201,8
oracle,non-indexed,Q20,django,5.743110452652896,31103.34684261058,0.901101,271.0498295,201,8
commercial_a,indexed,Q15,sqlalchemy,1.257354753737823,251.61082027496641,1.0880855,3.8260255,1,8
commercial_a,indexed,Q17,django,2.2005809522836097,803.0258124927296,0.1007,0.9094125,1,8
commercial_a,indexed,Q18,django,4.1602987146453305,6309.066456093557,3.373893,220.4487885,57,8
commercial_a,non-indexed,Q21,django,2.844971523612677,1620.1068837652567,3.0250075,52.259106,100,8
