system,schema,query,framework,theta,overhead,sql_s,orm_s,rows,blocks
mysql,indexed,Q01,django,0.00014291840180324678,0.014292861512458517,24.981768000000002,24.974536,4,8
mysql,indexed,Q01,sqlalchemy,-0.001052082948715793,-0.105152970348727,24.8649515,24.775829,4,8
mysql,indexed,Q02,django,0.01787604096153076,1.8036773708378626,0.2431765,0.247358,100,8
mysql,indexed,Q02,sqlalchemy,0.014805952872275534,1.4916103951658322,0.24506450000000002,0.24862,100,8
mysql,indexed,Q03,django,0.0009739631086639576,0.0974437564754217,6.557593000000001,6.5669439999999994,10,8
mysql,indexed,Q03,sqlalchemy,-0.0009714616951126162,-0.09709899789638357,6.5869935,6.5908685,10,8
mysql,indexed,Q04,django,0.0012717802073362056,0.12725892627279503,0.8436335,0.8434135,5,8
mysql,indexed,Q04,sqlalchemy,0.0004765152449454023,0.04766287963703471,0.845402,0.845816,5,8
mysql,indexed,Q05,django,0.0029655175275933557,0.29699190245265855,3.0239190000000002,3.0330985,5,8
mysql,indexed,Q05,sqlalchemy,-0.0003970504596881363,-0.03969716455857707,3.021313,3.0193065,5,8
mysql,indexed,Q06,django,0.1593583640484583,17.27581457410727,6.5237245,7.633888499999999,1,8
mysql,indexed,Q06,sqlalchemy,0.015134477184792862,1.5249583342016213,6.5846965,6.6861625,1,8
mysql,indexed,Q07,django,-0.05585933263202901,-5.4327848252768565,4.303939,4.0590475,4,8
mysql,indexed,Q07,sqlalchemy,0.003576022399370101,0.3582423995946896,4.336708,4.343997,4,8
mysql,indexed,Q08,django,0.002048874818885388,0.20509751971228585,0.7556625,0.7572455,2,8
mysql,indexed,Q08,sqlalchemy,0.005100845132257994,0.5113876590518228,0.774261,0.7785885,2,8
mysql,indexed,Q09,django,0.12718617009107092,13.56284181486925,6.5173190000000005,7.383826,175,8
mysql,indexed,Q09,sqlalchemy,-0.0082769030766698,-0.824274382364333,6.4752115,6.421803499999999,175,8
mysql,indexed,Q10,django,-0.2798008359179435,-24.406571857859486,3.251884,2.4101165,20,8
mysql,indexed,Q10,sqlalchemy,0.002714145118863384,0.27178317453183876,3.2575205,3.2690055,20,8
mysql,indexed,Q11,django,0.010849274000452581,1.0908340790952966,0.33569899999999997,0.3344955,1469,8
mysql,indexed,Q11,sqlalchemy,0.01329948907660071,1.3388320649457501,0.332457,0.337357,1469,8
mysql,indexed,Q12,django,-0.07838635198850916,-7.539286627711582,0.5692539999999999,0.5259465,2,8
mysql,indexed,Q12,sqlalchemy,0.005012662563708394,0.5025246975046634,0.569905,0.5727695,2,8
mysql,indexed,Q13,django,0.034154637832839965,3.474460502016765,8.948633999999998,9.283033,42,8
mysql,indexed,Q13,sqlalchemy,-0.0010013531047592468,-0.1000851918041292,8.9249335,8.922306500000001,42,8
mysql,indexed,Q14,django,0.011275570149839684,1.1339378992450566,0.7798240000000001,0.7888999999999999,1,8
mysql,indexed,Q14,sqlalchemy,0.0018953534045142064,0.189715072211618,0.78476,0.7859055,1,8
mysql,indexed,Q15,django,0.7395417319313287,109.49752342237757,1.307627,2.7434845,1,8
mysql,indexed,Q15,sqlalchemy,0.0013801430135301409,0.1381095849198449,2.630819,2.632715,1,8
mysql,indexed,Q16,django,0.009793357736817656,0.9841469595317422,0.8791835,0.8912035,18374,8
mysql,indexed,Q16,sqlalchemy,0.02629636282468708,2.6645162852713478,0.9173085000000001,0.940844,18374,8
mysql,indexed,Q17,django,0.009138453501501033,0.9180336652893105,0.9318555,0.939092,1,8
mysql,indexed,Q17,sqlalchemy,0.002545554496055036,0.2548797170785876,0.9294549999999999,0.9321085,1,8
mysql,indexed,Q18,django,-0.0021194547655837975,-0.21172103072880877,22.0155395,21.969894,57,8
mysql,indexed,Q18,sqlalchemy,-0.0007725330756913675,-0.07722347488422471,22.0207005,22.0032145,57,8
mysql,indexed,Q19,django,0.013721881760255066,1.3816458876662443,0.32894650000000003,0.3335725,1,8
mysql,indexed,Q19,sqlalchemy,0.004390504260675589,0.4400156645616194,0.327783,0.329261,1,8
mysql,indexed,Q20,django,0.027163496146762875,2.7535787172577066,1.2433455,1.274946,201,8
mysql,indexed,Q20,sqlalchemy,0.0011741563086716533,0.1174845900059866,1.2415355,1.243107,201,8
