system,schema,framework,n,median,ci
postgresql,indexed,django,22,0.8532872504497397,"[0.46877324043300306, 3.803161796871889]"
postgresql,indexed,sqlalchemy,22,0.43963453455577095,"[0.11949734232781588, 0.7359071088408702]"
postgresql,non-indexed,django,18,0.18838824921748462,"[-0.004024609004256646, 0.7390171465869417]"
postgresql,non-indexed,sqlalchemy,19,0.05553341620581797,"[0.011023765076939867, 0.26767482993378683]"
mysql,indexed,django,22,0.9510849001760237,"[0.1555426387408865, 1.8036773708378626]"
mysql,indexed,sqlalchemy,22,0.2633310895846609,"[0.04766287963703471, 0.4756953245011911]"
mysql,non-indexed,django,19,-0.09059308154494904,"[-0.7420275415154258, 1.772949413588255]"
mysql,non-indexed,sqlalchemy,20,0.016372008546254938,"[-0.09332373045970883, 0.13225048976085535]"
oracle,indexed,django,21,1.4194633249211916,"[-5.635337854136425, 13.055762365292692]"
oracle,indexed,sqlalchemy,22,1.3989663156176806,"[0.4400173839687659, 4.785439784939247]"
oracle,non-indexed,django,21,3.7277306775588643,"[0.4242669995770324, 72.89333207602694]"
oracle,non-indexed,sqlalchemy,22,1.1269726392618586,"[0.43672258449862605, 3.0958411008309237]"
commercial_a,indexed,django,21,40.982216905011995,"[5.343618051638912, 99.78675735404369]"
commercial_a,indexed,sqlalchemy,22,9.837919369516214,"[4.465902227061518, 51.5883678482275]"
commercial_a,non-indexed,django,21,3.4955050349681307,"[0.7627838116508331, 27.207234217541775]"
commercial_a,non-indexed,sqlalchemy,22,2.6950194373213123,"[0.9376768326327741, 8.608424479000838]"
