benchmark,orm,query_id,query_name,dbms,schema_config,scale_factor,direct_sql_execution_s,total_orm_execution_s,overhead_percentage,rows_returned,sql_status,orm_status,status_note,campaign_id
tpch,DJANGO,Q01,Pricing Summary Report,PostgreSQL,Indexed,1,10.163579,10.17452,0.04,4,ok,ok,,sf1
tpch,SQLALCHEMY,Q01,Pricing Summary Report,PostgreSQL,Indexed,1,10.164513,10.180708,0.07,4,ok,ok,,sf1
tpch,DJANGO,Q02,Minimum Cost Supplier,PostgreSQL,Indexed,1,0.316739,0.225085,-30.22,100,ok,ok,,sf1
tpch,SQLALCHEMY,Q02,Minimum Cost Supplier,PostgreSQL,Indexed,1,0.352183,0.356488,1.0,100,ok,ok,,sf1
tpch,DJANGO,Q03,Shipping Priority,PostgreSQL,Indexed,1,1.913922,1.916311,0.15,10,ok,ok,,sf1
tpch,SQLALCHEMY,Q03,Shipping Priority,PostgreSQL,Indexed,1,1.921493,1.921545,0.04,10,ok,ok,,sf1
tpch,DJANGO,Q04,Order Priority Checking,PostgreSQL,Indexed,1,0.291576,0.306331,4.98,5,ok,ok,,sf1
tpch,SQLALCHEMY,Q04,Order Priority Checking,PostgreSQL,Indexed,1,0.29272,0.294195,0.03,5,ok,ok,,sf1
tpch,DJANGO,Q05,Local Supplier Volume,PostgreSQL,Indexed,1,0.460211,0.462669,0.55,5,ok,ok,,sf1
tpch,SQLALCHEMY,Q05,Local Supplier Volume,PostgreSQL,Indexed,1,0.461016,0.464925,0.67,5,ok,ok,,sf1
tpch,DJANGO,Q06,Forecasting Revenue Change,PostgreSQL,Indexed,1,0.207223,0.208122,0.59,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q06,Forecasting Revenue Change,PostgreSQL,Indexed,1,0.207383,0.208133,0.48,1,ok,ok,,sf1
tpch,DJANGO,Q07,Volume Shipping,PostgreSQL,Indexed,1,0.801146,0.802492,0.29,4,ok,ok,,sf1
tpch,SQLALCHEMY,Q07,Volume Shipping,PostgreSQL,Indexed,1,0.797839,0.803064,0.74,4,ok,ok,,sf1
tpch,DJANGO,Q08,National Market Share,PostgreSQL,Indexed,1,0.351637,0.3567,1.94,2,ok,ok,,sf1
tpch,SQLALCHEMY,Q08,National Market Share,PostgreSQL,Indexed,1,0.352197,0.353895,0.76,2,ok,ok,,sf1
tpch,DJANGO,Q09,Product Type Profit Measure,PostgreSQL,Indexed,1,4.449879,4.74722,5.95,175,ok,ok,,sf1
tpch,SQLALCHEMY,Q09,Product Type Profit Measure,PostgreSQL,Indexed,1,4.460918,4.482229,0.09,175,ok,ok,,sf1
tpch,DJANGO,Q10,Returned Item Reporting,PostgreSQL,Indexed,1,1.901996,1.990947,4.94,20,ok,ok,,sf1
tpch,SQLALCHEMY,Q10,Returned Item Reporting,PostgreSQL,Indexed,1,1.893826,1.8976,-0.03,20,ok,ok,,sf1
tpch,DJANGO,Q11,Important Stock Identification,PostgreSQL,Indexed,1,0.126327,0.130442,2.68,1048,ok,ok,,sf1
tpch,SQLALCHEMY,Q11,Important Stock Identification,PostgreSQL,Indexed,1,0.129431,0.133898,3.34,1048,ok,ok,,sf1
tpch,DJANGO,Q12,Shipping Modes and Order Priority,PostgreSQL,Indexed,1,0.686062,0.688387,0.39,2,ok,ok,,sf1
tpch,SQLALCHEMY,Q12,Shipping Modes and Order Priority,PostgreSQL,Indexed,1,0.686429,0.687852,0.16,2,ok,ok,,sf1
tpch,DJANGO,Q13,Customer Distribution,PostgreSQL,Indexed,1,1.879164,3.379596,79.84,42,ok,ok,,sf1
tpch,SQLALCHEMY,Q13,Customer Distribution,PostgreSQL,Indexed,1,1.895995,1.901768,0.06,42,ok,ok,,sf1
tpch,DJANGO,Q14,Promotion Effect,PostgreSQL,Indexed,1,0.2396,0.241866,0.88,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q14,Promotion Effect,PostgreSQL,Indexed,1,0.257099,0.258491,0.68,1,ok,ok,,sf1
tpch,DJANGO,Q15,Top Supplier,PostgreSQL,Indexed,1,0.346346,0.667145,92.45,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q15,Top Supplier,PostgreSQL,Indexed,1,0.683817,0.686219,0.17,1,ok,ok,,sf1
tpch,DJANGO,Q16,Parts/Supplier Relationship,PostgreSQL,Indexed,1,1.069355,1.080365,0.82,18314,ok,ok,,sf1
tpch,SQLALCHEMY,Q16,Parts/Supplier Relationship,PostgreSQL,Indexed,1,1.122071,1.14762,2.48,18314,ok,ok,,sf1
tpch,DJANGO,Q17,Small-Quantity-Order Revenue,PostgreSQL,Indexed,1,1.287189,0.538689,-58.4,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q17,Small-Quantity-Order Revenue,PostgreSQL,Indexed,1,1.275394,1.282639,0.4,1,ok,ok,,sf1
tpch,DJANGO,Q18,Large Volume Customer,PostgreSQL,Indexed,1,3.789314,3.793276,0.1,57,ok,ok,,sf1
tpch,SQLALCHEMY,Q18,Large Volume Customer,PostgreSQL,Indexed,1,3.818574,3.822402,0.24,57,ok,ok,,sf1
tpch,DJANGO,Q19,Discounted Revenue,PostgreSQL,Indexed,1,0.083714,0.088923,6.17,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q19,Discounted Revenue,PostgreSQL,Indexed,1,0.086233,0.087474,1.12,1,ok,ok,,sf1
tpch,DJANGO,Q20,Potential Part Promotion,PostgreSQL,Indexed,1,0.932957,0.938339,0.67,186,ok,ok,,sf1
tpch,SQLALCHEMY,Q20,Potential Part Promotion,PostgreSQL,Indexed,1,0.944322,0.945165,0.04,186,ok,ok,,sf1
tpch,DJANGO,Q21,Suppliers Who Kept Orders Waiting,PostgreSQL,Indexed,1,1.013692,1.024926,1.22,100,ok,ok,,sf1
