dbms,schema_config,query_id,framework,overhead_pct,log_ratio,n_blocks
MySQL,indexed,Q01,django,0.01,0.0001,8
MySQL,indexed,Q01,sqlalchemy,-0.11,-0.0011,8
MySQL,indexed,Q02,django,1.8,0.0179,8
MySQL,indexed,Q02,sqlalchemy,1.49,0.0148,8
MySQL,indexed,Q03,django,0.1,0.001,8
MySQL,indexed,Q03,sqlalchemy,-0.1,-0.001,8
MySQL,indexed,Q04,django,0.13,0.0013,8
MySQL,indexed,Q04,sqlalchemy,0.05,0.0005,8
MySQL,indexed,Q05,django,0.3,0.003,8
MySQL,indexed,Q05,sqlalchemy,-0.04,-0.0004,8
MySQL,indexed,Q06,django,17.28,0.1594,8
MySQL,indexed,Q06,sqlalchemy,1.52,0.0151,8
MySQL,indexed,Q07,django,-5.43,-0.0559,8
MySQL,indexed,Q07,sqlalchemy,0.36,0.0036,8
MySQL,indexed,Q08,django,0.21,0.002,8
MySQL,indexed,Q08,sqlalchemy,0.51,0.0051,8
MySQL,indexed,Q09,django,13.56,0.1272,8
MySQL,indexed,Q09,sqlalchemy,-0.82,-0.0083,8
MySQL,indexed,Q10,django,-24.41,-0.2798,8
MySQL,indexed,Q10,sqlalchemy,0.27,0.0027,8
MySQL,indexed,Q11,django,1.09,0.0108,8
MySQL,indexed,Q11,sqlalchemy,1.34,0.0133,8
MySQL,indexed,Q12,django,-7.54,-0.0784,8
MySQL,indexed,Q12,sqlalchemy,0.5,0.005,8
MySQL,indexed,Q13,django,3.47,0.0342,8
MySQL,indexed,Q13,sqlalchemy,-0.1,-0.001,8
MySQL,indexed,Q14,django,1.13,0.0113,8
MySQL,indexed,Q14,sqlalchemy,0.19,0.0019,8
MySQL,indexed,Q15,django,109.5,0.7395,8
MySQL,indexed,Q15,sqlalchemy,0.14,0.0014,8
MySQL,indexed,Q16,django,0.98,0.0098,8
MySQL,indexed,Q16,sqlalchemy,2.66,0.0263,8
MySQL,indexed,Q17,django,0.92,0.0091,8
MySQL,indexed,Q17,sqlalchemy,0.25,0.0025,8
MySQL,indexed,Q18,django,-0.21,-0.0021,8
MySQL,indexed,Q18,sqlalchemy,-0.08,-0.0008,8
MySQL,indexed,Q19,django,1.38,0.0137,8
MySQL,indexed,Q19,sqlalchemy,0.44,0.0044,8
MySQL,indexed,Q20,django,2.75,0.0272,8
MySQL,indexed,Q20,sqlalchemy,0.12,0.0012,8
MySQL,indexed,Q21,django,0.69,0.0069,8
MySQL,indexed,Q21,sqlalchemy,0.3,0.003,8
MySQL,indexed,Q22,django,6.2,0.0602,8
MySQL,indexed,Q22,sqlalchemy,0.86,0.0086,8
MySQL,non-indexed,Q01,django,-0.74,-0.0074,8
MySQL,non-indexed,Q01,sqlalchemy,0.11,0.0011,8
MySQL,non-indexed,Q02,django,1.77,0.0176,8
MySQL,non-indexed,Q02,sqlalchemy,2.46,0.0243,8
MySQL,non-indexed,Q03,django,-0.11,-0.0011,8
MySQL,non-indexed,Q03,sqlalchemy,0.06,0.0006,8
MySQL,non-indexed,Q04,django,-0.13,-0.0013,8
MySQL,non-indexed,Q04,sqlalchemy,-0.04,-0.0004,8
MySQL,non-indexed,Q05,django,3.64,0.0357,8
MySQL,non-indexed,Q05,sqlalchemy,-0.09,-0.0009,8
MySQL,non-indexed,Q06,django,16.58,0.1534,8
MySQL,non-indexed,Q06,sqlalchemy,1.84,0.0183,8
MySQL,non-indexed,Q07,django,-12.15,-0.1295,8
MySQL,non-indexed,Q07,sqlalchemy,-0.22,-0.0022,8
MySQL,non-indexed,Q08,django,0.72,0.0072,8
MySQL,non-indexed,Q08,sqlalchemy,-0.15,-0.0015,8
MySQL,non-indexed,Q09,django,-3.26,-0.0331,8
MySQL,non-indexed,Q09,sqlalchemy,-0.0,-0.0,8
MySQL,non-indexed,Q10,django,-6.22,-0.0642,8
MySQL,non-indexed,Q10,sqlalchemy,-0.17,-0.0017,8
MySQL,non-indexed,Q11,django,-0.09,-0.0009,8
MySQL,non-indexed,Q11,sqlalchemy,0.01,0.0001,8
MySQL,non-indexed,Q12,django,-13.42,-0.1441,8
MySQL,non-indexed,Q12,sqlalchemy,0.15,0.0015,8
MySQL,non-indexed,Q13,sqlalchemy,0.02,0.0002,8
MySQL,non-indexed,Q14,django,0.88,0.0088,8
MySQL,non-indexed,Q14,sqlalchemy,0.51,0.0051,8
MySQL,non-indexed,Q15,django,101.37,0.7,8
MySQL,non-indexed,Q15,sqlalchemy,0.02,0.0002,8
