benchmark,query_id,band,dbms,schema_config,scale_factor,framework,path,median_s,min_s,max_s,cv_pct,rows_returned,repetitions_measured,status,note
tpcc,T1,Write-heavy,mysql,indexed,1,django,orm,0.055218,0.050517,0.056475,5.8,1,3,ok,"drift: new_order +16, order +16, order_line +142"
tpcc,T1,Write-heavy,mysql,indexed,1,django,sql,0.029373,0.025402,0.041233,25.7,1,3,ok,"drift: new_order +16, order +16, order_line +142"
tpcc,T1,Write-heavy,mysql,indexed,1,sqlalchemy,orm,0.05354,0.040118,0.057587,18.1,1,3,ok,"drift: new_order +16, order +16, order_line +142"
tpcc,T1,Write-heavy,mysql,indexed,1,sqlalchemy,sql,0.034302,0.028379,0.049984,29.7,1,3,ok,"drift: new_order +16, order +16, order_line +142"
tpcc,T2,Write-heavy,mysql,indexed,1,django,orm,0.016854,0.01651,0.017506,3.0,1,3,ok,drift: history +16
tpcc,T2,Write-heavy,mysql,indexed,1,django,sql,0.011054,0.009798,0.011154,7.1,1,3,ok,drift: history +16
tpcc,T2,Write-heavy,mysql,indexed,1,sqlalchemy,orm,0.019173,0.016358,0.021127,12.7,1,3,ok,drift: history +16
tpcc,T2,Write-heavy,mysql,indexed,1,sqlalchemy,sql,0.010538,0.009705,0.011046,6.5,1,3,ok,drift: history +16
tpcc,T3,Read-only,mysql,indexed,1,django,orm,0.018233,0.017676,0.019568,5.3,1,3,ok,
tpcc,T3,Read-only,mysql,indexed,1,django,sql,0.009671,0.009236,0.013511,21.8,1,3,ok,
tpcc,T3,Read-only,mysql,indexed,1,sqlalchemy,orm,0.014373,0.007343,0.018741,42.6,1,3,ok,
tpcc,T3,Read-only,mysql,indexed,1,sqlalchemy,sql,0.008911,0.008492,0.011668,17.8,1,3,ok,
tpcc,T4,Write-heavy,mysql,indexed,1,django,orm,0.136189,0.103528,0.158573,20.9,1,3,ok,drift: new_order -160
tpcc,T4,Write-heavy,mysql,indexed,1,django,sql,0.039075,0.038834,0.097676,57.9,1,3,ok,drift: new_order -160
tpcc,T4,Write-heavy,mysql,indexed,1,sqlalchemy,orm,0.148806,0.14747,0.169801,8.1,1,3,ok,drift: new_order -160
tpcc,T4,Write-heavy,mysql,indexed,1,sqlalchemy,sql,0.087219,0.052299,0.09133,27.9,1,3,ok,drift: new_order -160
tpcc,T5,Read-only,mysql,indexed,1,django,orm,0.019994,0.018191,0.020557,6.3,1,3,ok,
tpcc,T5,Read-only,mysql,indexed,1,django,sql,0.011969,0.010404,0.013256,12.0,1,3,ok,
tpcc,T5,Read-only,mysql,indexed,1,sqlalchemy,orm,0.014299,0.009733,0.016746,26.2,1,3,ok,
tpcc,T5,Read-only,mysql,indexed,1,sqlalchemy,sql,0.019249,0.015232,0.019466,13.3,1,3,ok,
