benchmark,dbms,schema_config,transaction_id,name,framework,path,concurrency,duration_s,committed,aborted,abort_pct,qpm,qps,p50_ms,p95_ms,note
tpcc,mysql,indexed,T1,New-Order,django,orm,1,60,1588,0,0.0,1587.2,26.45,43.572,58.92,
tpcc,mysql,indexed,T1,New-Order,django,sql,1,60,3588,0,0.0,3587.9,59.8,18.984,25.614,
tpcc,mysql,indexed,T1,New-Order,sqlalchemy,orm,1,60,1539,0,0.0,1539.0,25.65,45.762,60.435,
tpcc,mysql,indexed,T1,New-Order,sqlalchemy,sql,1,60,2358,0,0.0,2357.7,39.29,29.292,42.886,
tpcc,mysql,indexed,T2,Payment,django,orm,1,60,4091,0,0.0,4090.3,68.17,15.253,24.69,
tpcc,mysql,indexed,T2,Payment,django,sql,1,60,7079,0,0.0,7078.8,117.98,7.49,17.619,
tpcc,mysql,indexed,T2,Payment,sqlalchemy,orm,1,60,4325,0,0.0,4324.7,72.08,14.343,24.119,
tpcc,mysql,indexed,T2,Payment,sqlalchemy,sql,1,60,6228,0,0.0,6226.5,103.78,9.158,19.11,
tpcc,mysql,indexed,T3,Order-Status,django,orm,1,60,8331,0,0.0,8330.3,138.84,8.19,10.803,
tpcc,mysql,indexed,T3,Order-Status,django,sql,1,60,14933,0,0.0,14932.1,248.87,4.475,6.611,
tpcc,mysql,indexed,T3,Order-Status,sqlalchemy,orm,1,60,9279,0,0.0,9277.8,154.63,7.47,9.93,
tpcc,mysql,indexed,T3,Order-Status,sqlalchemy,sql,1,60,15730,0,0.0,15728.8,262.15,4.232,6.646,
tpcc,mysql,indexed,T4,Delivery,django,orm,1,60,689,0,0.0,688.6,11.48,100.618,108.166,new_order 597154 -> 590264
tpcc,mysql,indexed,T4,Delivery,django,sql,1,60,1803,0,0.0,1802.4,30.04,37.868,40.503,new_order 597154 -> 579124
tpcc,mysql,indexed,T4,Delivery,sqlalchemy,orm,1,60,490,0,0.0,488.9,8.15,142.142,154.638,new_order 597154 -> 592254
tpcc,mysql,indexed,T4,Delivery,sqlalchemy,sql,1,60,1340,0,0.0,1339.0,22.32,49.484,60.656,new_order 597154 -> 583754
tpcc,mysql,indexed,T5,Stock-Level,django,orm,1,60,6301,0,0.0,6300.7,105.01,11.047,11.474,
tpcc,mysql,indexed,T5,Stock-Level,django,sql,1,60,13476,0,0.0,13474.7,224.58,5.183,5.454,
