benchmark,dbms,schema_config,transaction_id,name,framework,path,concurrency,duration_s,committed,aborted,abort_pct,qpm,qps,p50_ms,p95_ms,note
tpcc,mysql,non-indexed,T1,New-Order,django,orm,1,60,1581,0,0.0,1580.1,26.33,43.331,59.537,
tpcc,mysql,non-indexed,T1,New-Order,django,sql,1,60,3533,0,0.0,3532.4,58.87,19.063,25.746,
tpcc,mysql,non-indexed,T1,New-Order,sqlalchemy,orm,1,60,1556,0,0.0,1555.7,25.93,44.194,60.375,
tpcc,mysql,non-indexed,T1,New-Order,sqlalchemy,sql,1,60,2270,0,0.0,2269.6,37.83,29.956,44.359,
tpcc,mysql,non-indexed,T2,Payment,django,orm,1,60,3978,0,0.0,3977.1,66.29,15.367,24.806,
tpcc,mysql,non-indexed,T2,Payment,django,sql,1,60,7617,0,0.0,7616.4,126.94,7.468,16.664,
tpcc,mysql,non-indexed,T2,Payment,sqlalchemy,orm,1,60,4536,0,0.0,4535.8,75.6,14.38,22.685,
tpcc,mysql,non-indexed,T2,Payment,sqlalchemy,sql,1,60,6194,0,0.0,6193.8,103.23,9.039,18.678,
tpcc,mysql,non-indexed,T3,Order-Status,django,orm,1,60,7982,0,0.0,7981.5,133.03,8.303,11.784,
tpcc,mysql,non-indexed,T3,Order-Status,django,sql,1,60,14122,0,0.0,14120.8,235.35,4.586,7.532,
tpcc,mysql,non-indexed,T3,Order-Status,sqlalchemy,orm,1,60,8874,0,0.0,8873.6,147.89,7.475,10.735,
tpcc,mysql,non-indexed,T3,Order-Status,sqlalchemy,sql,1,60,15038,0,0.0,15037.0,250.62,4.127,7.628,
tpcc,mysql,non-indexed,T4,Delivery,django,orm,1,60,681,0,0.0,680.8,11.35,101.462,109.849,new_order 736501 -> 729691
tpcc,mysql,non-indexed,T4,Delivery,django,sql,1,60,1766,0,0.0,1765.0,29.42,38.377,40.828,new_order 736501 -> 718841
tpcc,mysql,non-indexed,T4,Delivery,sqlalchemy,orm,1,60,484,0,0.0,483.3,8.06,142.692,154.435,new_order 736501 -> 731661
tpcc,mysql,non-indexed,T4,Delivery,sqlalchemy,sql,1,60,1307,0,0.0,1306.2,21.77,51.008,62.614,new_order 736501 -> 723431
tpcc,mysql,non-indexed,T5,Stock-Level,django,orm,1,60,6198,0,0.0,6197.4,103.29,11.247,11.64,
tpcc,mysql,non-indexed,T5,Stock-Level,django,sql,1,60,13103,0,0.0,13101.7,218.36,5.324,5.624,
tpcc,mysql,non-indexed,T5,Stock-Level,sqlalchemy,orm,1,60,7548,0,0.0,7546.9,125.78,9.246,9.664,
tpcc,mysql,non-indexed,T5,Stock-Level,sqlalchemy,sql,1,60,9106,0,0.0,9105.6,151.76,7.665,8.076,
tpcc,mysql,non-indexed,T1,New-Order,django,orm,4,60,2412,0,0.0,2410.1,40.17,114.951,164.574,
tpcc,mysql,non-indexed,T1,New-Order,django,sql,4,60,12197,0,0.0,12192.2,203.2,22.014,30.3,
tpcc,mysql,non-indexed,T1,New-Order,sqlalchemy,orm,4,60,2404,0,0.0,2400.4,40.01,115.146,164.214,
tpcc,mysql,non-indexed,T1,New-Order,sqlalchemy,sql,4,60,5666,0,0.0,5661.4,94.36,45.196,76.77,
tpcc,mysql,non-indexed,T2,Payment,django,orm,4,60,6999,0,0.0,6980.9,116.35,40.183,56.654,
tpcc,mysql,non-indexed,T2,Payment,django,sql,4,60,16960,0,0.0,16956.3,282.61,14.34,31.102,
tpcc,mysql,non-indexed,T2,Payment,sqlalchemy,orm,4,60,8097,0,0.0,8092.2,134.87,33.547,50.272,
tpcc,mysql,non-indexed,T2,Payment,sqlalchemy,sql,4,60,16095,0,0.0,16090.8,268.18,14.337,30.868,
tpcc,mysql,non-indexed,T3,Order-Status,django,orm,4,60,16793,0,0.0,16788.0,279.8,16.233,22.676,
tpcc,mysql,non-indexed,T3,Order-Status,django,sql,4,60,38740,0,0.0,38734.4,645.57,6.669,12.416,
tpcc,mysql,non-indexed,T3,Order-Status,sqlalchemy,orm,4,60,18886,0,0.0,18883.3,314.72,14.523,20.424,
tpcc,mysql,non-indexed,T3,Order-Status,sqlalchemy,sql,4,60,37330,0,0.0,37327.5,622.12,7.021,12.566,
tpcc,mysql,non-indexed,T4,Delivery,django,orm,4,60,1009,0,0.0,1006.6,16.78,274.008,445.334,new_order 759180 -> 749369
tpcc,mysql,non-indexed,T4,Delivery,django,sql,4,60,4857,0,0.0,4854.0,80.9,50.897,91.79,new_order 759180 -> 711906
tpcc,mysql,non-indexed,T4,Delivery,sqlalchemy,orm,4,60,855,0,0.0,851.7,14.2,310.995,519.455,new_order 759180 -> 752380
tpcc,mysql,non-indexed,T4,Delivery,sqlalchemy,sql,4,60,3089,0,0.0,3083.8,51.4,82.939,150.121,new_order 759180 -> 733960
tpcc,mysql,non-indexed,T5,Stock-Level,django,orm,4,60,10341,0,0.0,10339.3,172.32,26.385,34.752,
tpcc,mysql,non-indexed,T5,Stock-Level,django,sql,4,60,33892,0,0.0,33886.6,564.78,8.094,10.596,
tpcc,mysql,non-indexed,T5,Stock-Level,sqlalchemy,orm,4,60,13626,0,0.0,13622.4,227.04,20.035,26.801,
tpcc,mysql,non-indexed,T5,Stock-Level,sqlalchemy,sql,4,60,16311,0,0.0,16308.7,271.81,16.497,22.436,
tpcc,mysql,non-indexed,T1,New-Order,django,orm,8,60,2461,0,0.0,2456.0,40.93,221.595,333.577,
tpcc,mysql,non-indexed,T1,New-Order,django,sql,8,60,15372,0,0.0,15364.8,256.08,34.775,51.982,
tpcc,mysql,non-indexed,T1,New-Order,sqlalchemy,orm,8,60,2436,0,0.0,2430.0,40.5,223.646,340.62,
