benchmark,dbms,schema_config,transaction_id,name,framework,path,concurrency,duration_s,committed,aborted,abort_pct,qpm,qps,p50_ms,p95_ms,note
tpcc,oracle,indexed,T1,New-Order,django,orm,1,60,1502,0,0.0,1501.3,25.02,46.604,64.758,
tpcc,oracle,indexed,T1,New-Order,django,sql,1,60,3463,0,0.0,3461.8,57.7,20.296,27.78,
tpcc,oracle,indexed,T1,New-Order,sqlalchemy,orm,1,60,1568,0,0.0,1566.6,26.11,44.568,62.054,
tpcc,oracle,indexed,T1,New-Order,sqlalchemy,sql,1,60,2791,0,0.0,2791.0,46.52,25.172,34.141,
tpcc,oracle,indexed,T2,Payment,django,orm,1,60,5572,0,0.0,5571.0,92.85,12.462,13.338,
tpcc,oracle,indexed,T2,Payment,django,sql,1,60,16109,0,0.0,16108.2,268.47,4.275,4.979,
tpcc,oracle,indexed,T2,Payment,sqlalchemy,orm,1,60,5973,0,0.0,5972.3,99.54,11.64,12.453,
tpcc,oracle,indexed,T2,Payment,sqlalchemy,sql,1,60,12251,0,0.0,12250.2,204.17,5.639,6.304,
tpcc,oracle,indexed,T3,Order-Status,django,orm,1,60,12345,0,0.0,12344.0,205.73,6.045,6.989,
tpcc,oracle,indexed,T3,Order-Status,django,sql,1,60,27103,0,0.0,27101.7,451.7,2.421,3.391,
tpcc,oracle,indexed,T3,Order-Status,sqlalchemy,orm,1,60,12336,0,0.0,12335.7,205.59,5.852,6.87,
tpcc,oracle,indexed,T3,Order-Status,sqlalchemy,sql,1,60,24297,0,0.0,24295.6,404.93,2.938,3.28,
tpcc,oracle,indexed,T4,Delivery,django,orm,1,60,735,0,0.0,734.7,12.24,94.797,97.572,new_order 309340 -> 301990
tpcc,oracle,indexed,T4,Delivery,django,sql,1,60,2522,0,0.0,2521.1,42.02,27.641,28.898,new_order 309340 -> 284120
tpcc,oracle,indexed,T4,Delivery,sqlalchemy,orm,1,60,722,0,0.0,721.8,12.03,97.338,99.077,new_order 309340 -> 302120
tpcc,oracle,indexed,T4,Delivery,sqlalchemy,sql,1,60,1873,0,0.0,1872.8,31.21,37.363,38.317,new_order 309340 -> 290610
tpcc,oracle,indexed,T5,Stock-Level,django,orm,1,60,5457,0,0.0,5456.8,90.95,12.141,13.348,
tpcc,oracle,indexed,T5,Stock-Level,django,sql,1,60,10523,0,0.0,10522.0,175.37,6.249,7.169,
tpcc,oracle,indexed,T5,Stock-Level,sqlalchemy,orm,1,60,6461,0,0.0,6460.4,107.67,10.409,11.413,
tpcc,oracle,indexed,T5,Stock-Level,sqlalchemy,sql,1,60,7703,0,0.0,7702.0,128.37,8.509,9.507,
tpcc,oracle,indexed,T1,New-Order,django,orm,4,60,1942,0,0.0,1939.6,32.33,143.948,202.931,
tpcc,oracle,indexed,T1,New-Order,django,sql,4,60,8428,0,0.0,8425.8,140.43,32.799,47.311,
tpcc,oracle,indexed,T1,New-Order,sqlalchemy,orm,4,60,1900,0,0.0,1898.3,31.64,145.577,208.566,
tpcc,oracle,indexed,T1,New-Order,sqlalchemy,sql,4,60,4542,0,0.0,4539.5,75.66,61.413,86.57,
tpcc,oracle,indexed,T2,Payment,django,orm,4,60,7401,0,0.0,7399.0,123.32,36.604,46.545,
tpcc,oracle,indexed,T2,Payment,django,sql,4,60,27538,0,0.0,27534.1,458.9,9.319,12.983,
tpcc,oracle,indexed,T2,Payment,sqlalchemy,orm,4,60,7747,0,0.0,7743.2,129.05,33.298,41.604,
tpcc,oracle,indexed,T2,Payment,sqlalchemy,sql,4,60,21576,0,0.0,21571.5,359.53,12.156,16.864,
tpcc,oracle,indexed,T3,Order-Status,django,orm,4,60,16254,0,0.0,16252.1,270.87,17.457,25.464,
tpcc,oracle,indexed,T3,Order-Status,django,sql,4,60,58854,0,0.0,58848.6,980.81,4.608,7.097,
tpcc,oracle,indexed,T3,Order-Status,sqlalchemy,orm,4,60,16036,0,0.0,16034.2,267.24,17.592,23.974,
tpcc,oracle,indexed,T3,Order-Status,sqlalchemy,sql,4,60,43005,0,0.0,43002.0,716.7,6.363,9.001,
tpcc,oracle,indexed,T4,Delivery,django,orm,4,60,866,0,0.0,864.4,14.41,322.325,522.146,new_order 326152 -> 317713
tpcc,oracle,indexed,T4,Delivery,django,sql,4,60,6178,0,0.0,6174.5,102.91,43.427,69.782,new_order 326152 -> 265841
tpcc,oracle,indexed,T4,Delivery,sqlalchemy,orm,4,60,847,0,0.0,843.1,14.05,331.025,527.457,new_order 326152 -> 317879
tpcc,oracle,indexed,T4,Delivery,sqlalchemy,sql,4,60,3196,0,0.0,3194.5,53.24,85.925,135.093,new_order 326152 -> 294992
tpcc,oracle,indexed,T5,Stock-Level,django,orm,4,60,6897,0,0.0,6893.3,114.89,38.018,60.577,
tpcc,oracle,indexed,T5,Stock-Level,django,sql,4,60,17362,0,0.0,17357.7,289.3,14.458,21.166,
tpcc,oracle,indexed,T5,Stock-Level,sqlalchemy,orm,4,60,8421,0,0.0,8417.6,140.29,31.496,42.014,
tpcc,oracle,indexed,T5,Stock-Level,sqlalchemy,sql,4,60,10633,0,0.0,10626.9,177.12,23.693,33.3,
tpcc,oracle,indexed,T1,New-Order,django,orm,8,60,1994,0,0.0,1990.1,33.17,274.726,428.981,
tpcc,oracle,indexed,T1,New-Order,django,sql,8,60,8586,0,0.0,8579.2,142.99,63.971,96.394,
tpcc,oracle,indexed,T1,New-Order,sqlalchemy,orm,8,60,1977,0,0.0,1972.3,32.87,278.868,431.206,
tpcc,oracle,indexed,T1,New-Order,sqlalchemy,sql,8,60,4640,0,0.0,4635.1,77.25,118.509,176.56,
tpcc,oracle,indexed,T2,Payment,django,orm,8,60,7670,0,0.0,7664.7,127.75,68.179,111.637,
tpcc,oracle,indexed,T2,Payment,django,sql,8,60,57962,0,0.0,57942.1,965.7,8.91,14.861,
tpcc,oracle,indexed,T2,Payment,sqlalchemy,orm,8,60,8264,0,0.0,8260.7,137.68,65.805,92.83,
tpcc,oracle,indexed,T2,Payment,sqlalchemy,sql,8,60,29406,0,0.0,29398.3,489.97,17.94,28.655,
tpcc,oracle,indexed,T3,Order-Status,django,orm,8,60,16469,0,0.0,16466.3,274.44,33.37,54.234,
tpcc,oracle,indexed,T3,Order-Status,django,sql,8,60,62018,0,0.0,62009.8,1033.5,8.709,14.14,
tpcc,oracle,indexed,T3,Order-Status,sqlalchemy,orm,8,60,16358,0,0.0,16352.1,272.53,33.441,50.744,
tpcc,oracle,indexed,T3,Order-Status,sqlalchemy,sql,8,60,44351,0,0.0,44343.7,739.06,12.22,18.809,
tpcc,oracle,indexed,T4,Delivery,django,orm,8,60,874,0,0.0,867.9,14.46,532.191,1262.255,new_order 343349 -> 335090
tpcc,oracle,indexed,T4,Delivery,django,sql,8,60,6138,0,0.0,6128.0,102.13,77.194,165.65,new_order 343349 -> 285226
tpcc,oracle,indexed,T4,Delivery,sqlalchemy,orm,8,60,851,0,0.0,844.5,14.08,566.492,1231.661,new_order 343349 -> 335304
tpcc,oracle,indexed,T4,Delivery,sqlalchemy,sql,8,60,3176,0,0.0,3168.7,52.81,150.438,326.067,new_order 343349 -> 313287
tpcc,oracle,indexed,T5,Stock-Level,django,orm,8,60,6849,0,0.0,6840.9,114.01,76.693,135.841,
tpcc,oracle,indexed,T5,Stock-Level,django,sql,8,60,16708,0,0.0,16700.1,278.33,29.516,85.05,
tpcc,oracle,indexed,T5,Stock-Level,sqlalchemy,orm,8,60,8184,0,0.0,8178.1,136.3,63.988,123.261,
tpcc,oracle,indexed,T5,Stock-Level,sqlalchemy,sql,8,60,10199,0,0.0,10190.5,169.84,48.561,137.58,
tpcc,oracle,indexed,T1,New-Order,django,orm,16,60,2036,0,0.0,2023.5,33.73,534.737,867.891,
tpcc,oracle,indexed,T1,New-Order,django,sql,16,60,8632,0,0.0,8613.1,143.55,124.616,206.675,
tpcc,oracle,indexed,T1,New-Order,sqlalchemy,orm,16,60,1982,0,0.0,1970.0,32.83,546.884,887.16,
tpcc,oracle,indexed,T1,New-Order,sqlalchemy,sql,16,60,4353,0,0.0,4343.0,72.38,252.04,389.689,
tpcc,oracle,indexed,T2,Payment,django,orm,16,60,7714,0,0.0,7702.6,128.38,131.277,257.339,
tpcc,oracle,indexed,T2,Payment,django,sql,16,60,58247,0,0.0,58218.9,970.31,16.341,37.856,
tpcc,oracle,indexed,T2,Payment,sqlalchemy,orm,16,60,8359,0,0.0,8350.2,139.17,130.607,189.728,
tpcc,oracle,indexed,T2,Payment,sqlalchemy,sql,16,60,29064,0,0.0,29048.9,484.15,34.396,70.026,
tpcc,oracle,indexed,T3,Order-Status,django,orm,16,60,16442,0,0.0,16429.1,273.82,64.709,117.182,
tpcc,oracle,indexed,T3,Order-Status,django,sql,16,60,62622,0,0.0,62604.9,1043.42,17.068,29.111,
tpcc,oracle,indexed,T3,Order-Status,sqlalchemy,orm,16,60,16285,0,0.0,16276.4,271.27,66.776,106.417,
