benchmark,dbms,schema_config,transaction_id,name,framework,path,concurrency,duration_s,committed,aborted,abort_pct,qpm,qps,p50_ms,p95_ms,note
tpcc,oracle,non-indexed,T1,New-Order,django,orm,1,60,1483,0,0.0,1481.9,24.7,47.214,65.059,
tpcc,oracle,non-indexed,T1,New-Order,django,sql,1,60,3469,0,0.0,3468.5,57.81,19.96,27.852,
tpcc,oracle,non-indexed,T1,New-Order,sqlalchemy,orm,1,60,1555,0,0.0,1554.6,25.91,44.913,61.928,
tpcc,oracle,non-indexed,T1,New-Order,sqlalchemy,sql,1,60,2781,0,0.0,2780.7,46.34,25.155,34.172,
tpcc,oracle,non-indexed,T2,Payment,django,orm,1,60,5537,0,0.0,5535.8,92.26,12.499,13.349,
tpcc,oracle,non-indexed,T2,Payment,django,sql,1,60,16073,0,0.0,16071.8,267.86,4.267,4.99,
tpcc,oracle,non-indexed,T2,Payment,sqlalchemy,orm,1,60,5955,0,0.0,5954.4,99.24,11.669,12.51,
tpcc,oracle,non-indexed,T2,Payment,sqlalchemy,sql,1,60,12224,0,0.0,12223.5,203.72,5.642,6.321,
tpcc,oracle,non-indexed,T3,Order-Status,django,orm,1,60,10149,0,0.0,10148.4,169.14,7.012,8.276,
tpcc,oracle,non-indexed,T3,Order-Status,django,sql,1,60,19229,0,0.0,19227.6,320.46,3.545,4.657,
tpcc,oracle,non-indexed,T3,Order-Status,sqlalchemy,orm,1,60,9935,0,0.0,9933.9,165.56,7.065,8.438,
tpcc,oracle,non-indexed,T3,Order-Status,sqlalchemy,sql,1,60,18450,0,0.0,18449.4,307.49,3.908,4.523,
tpcc,oracle,non-indexed,T4,Delivery,django,orm,1,60,735,0,0.0,733.9,12.23,94.762,98.273,new_order 403013 -> 395663
tpcc,oracle,non-indexed,T4,Delivery,django,sql,1,60,2504,0,0.0,2503.2,41.72,27.845,29.006,new_order 403013 -> 377973
tpcc,oracle,non-indexed,T4,Delivery,sqlalchemy,orm,1,60,715,0,0.0,714.6,11.91,98.222,100.274,new_order 403013 -> 395863
tpcc,oracle,non-indexed,T4,Delivery,sqlalchemy,sql,1,60,1865,0,0.0,1864.8,31.08,37.545,38.43,new_order 403013 -> 384363
tpcc,oracle,non-indexed,T5,Stock-Level,django,orm,1,60,5451,0,0.0,5450.3,90.84,12.075,13.307,
tpcc,oracle,non-indexed,T5,Stock-Level,django,sql,1,60,10651,0,0.0,10649.7,177.49,6.172,7.067,
tpcc,oracle,non-indexed,T5,Stock-Level,sqlalchemy,orm,1,60,6505,0,0.0,6504.2,108.4,10.358,11.338,
tpcc,oracle,non-indexed,T5,Stock-Level,sqlalchemy,sql,1,60,7817,0,0.0,7814.2,130.24,8.425,9.406,
tpcc,oracle,non-indexed,T1,New-Order,django,orm,4,60,1946,0,0.0,1942.4,32.37,143.732,203.567,
tpcc,oracle,non-indexed,T1,New-Order,django,sql,4,60,8398,0,0.0,8394.3,139.91,32.642,47.382,
tpcc,oracle,non-indexed,T1,New-Order,sqlalchemy,orm,4,60,1892,0,0.0,1890.2,31.5,146.986,207.409,
tpcc,oracle,non-indexed,T1,New-Order,sqlalchemy,sql,4,60,4420,0,0.0,4416.8,73.61,62.836,89.142,
tpcc,oracle,non-indexed,T2,Payment,django,orm,4,60,7480,0,0.0,7477.6,124.63,36.796,46.729,
tpcc,oracle,non-indexed,T2,Payment,django,sql,4,60,53463,0,0.0,53453.8,890.9,4.92,6.889,
tpcc,oracle,non-indexed,T2,Payment,sqlalchemy,orm,4,60,8144,0,0.0,8141.8,135.7,34.023,40.562,
tpcc,oracle,non-indexed,T2,Payment,sqlalchemy,sql,4,60,28752,0,0.0,28746.8,479.11,9.417,12.472,
tpcc,oracle,non-indexed,T3,Order-Status,django,orm,4,60,15571,0,0.0,15567.5,259.46,18.15,24.948,
tpcc,oracle,non-indexed,T3,Order-Status,django,sql,4,60,42692,0,0.0,42687.3,711.46,6.333,9.84,
tpcc,oracle,non-indexed,T3,Order-Status,sqlalchemy,orm,4,60,15412,0,0.0,15410.0,256.83,18.087,24.338,
tpcc,oracle,non-indexed,T3,Order-Status,sqlalchemy,sql,4,60,36281,0,0.0,36277.0,604.62,7.557,11.168,
tpcc,oracle,non-indexed,T4,Delivery,django,orm,4,60,861,0,0.0,858.4,14.31,324.685,507.055,new_order 419669 -> 411272
tpcc,oracle,non-indexed,T4,Delivery,django,sql,4,60,6188,0,0.0,6184.3,103.07,43.46,69.451,new_order 419669 -> 359274
tpcc,oracle,non-indexed,T4,Delivery,sqlalchemy,orm,4,60,844,0,0.0,840.2,14.0,331.598,520.77,new_order 419669 -> 411444
tpcc,oracle,non-indexed,T4,Delivery,sqlalchemy,sql,4,60,3089,0,0.0,3085.0,51.42,89.366,139.863,new_order 419669 -> 389519
tpcc,oracle,non-indexed,T5,Stock-Level,django,orm,4,60,6851,0,0.0,6847.6,114.13,38.206,64.45,
