benchmark,dbms,schema_config,transaction_id,name,framework,path,concurrency,duration_s,committed,aborted,abort_pct,qpm,qps,p50_ms,p95_ms,note
tpcc,postgresql,indexed,T1,New-Order,django,orm,1,60,1608,0,0.0,1606.7,26.78,42.968,61.01,
tpcc,postgresql,indexed,T1,New-Order,django,sql,1,60,4241,0,0.0,4240.4,70.67,16.265,23.748,
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,orm,1,60,1742,0,0.0,1740.6,29.01,40.073,55.733,
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,sql,1,60,2807,0,0.0,2807.0,46.78,24.927,34.062,
tpcc,postgresql,indexed,T2,Payment,django,orm,1,60,5727,0,0.0,5726.3,95.44,12.159,13.065,
tpcc,postgresql,indexed,T2,Payment,django,sql,1,60,16801,0,0.0,16800.3,280.01,4.085,4.599,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,orm,1,60,6272,0,0.0,6271.9,104.53,11.205,11.564,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,sql,1,60,11814,0,0.0,11813.1,196.88,5.951,6.203,
tpcc,postgresql,indexed,T3,Order-Status,django,orm,1,60,7139,0,0.0,7137.9,118.97,9.927,10.203,
tpcc,postgresql,indexed,T3,Order-Status,django,sql,1,60,10956,0,0.0,10955.6,182.59,6.446,6.658,
tpcc,postgresql,indexed,T3,Order-Status,sqlalchemy,orm,1,60,7338,0,0.0,7337.8,122.3,9.696,9.972,
tpcc,postgresql,indexed,T3,Order-Status,sqlalchemy,sql,1,60,10134,0,0.0,10133.4,168.89,6.936,7.132,
tpcc,postgresql,indexed,T4,Delivery,django,orm,1,60,794,0,0.0,793.2,13.22,88.088,89.344,new_order 630029 -> 622089
tpcc,postgresql,indexed,T4,Delivery,django,sql,1,60,2593,0,0.0,2592.1,43.2,27.389,28.341,new_order 630029 -> 604099
tpcc,postgresql,indexed,T4,Delivery,sqlalchemy,orm,1,60,558,0,0.0,556.9,9.28,125.645,133.579,new_order 630029 -> 624449
