benchmark,dbms,schema_config,transaction_id,name,framework,path,concurrency,duration_s,committed,aborted,abort_pct,qpm,qps,p50_ms,p95_ms,note
tpcc,postgresql,non-indexed,T1,New-Order,django,orm,1,60,1613,0,0.0,1612.2,26.87,43.366,60.478,
tpcc,postgresql,non-indexed,T1,New-Order,django,sql,1,60,4441,0,0.0,4440.9,74.01,15.341,23.189,
tpcc,postgresql,non-indexed,T1,New-Order,sqlalchemy,orm,1,60,1768,0,0.0,1767.8,29.46,39.755,54.907,
tpcc,postgresql,non-indexed,T1,New-Order,sqlalchemy,sql,1,60,2821,0,0.0,2820.6,47.01,24.759,33.929,
tpcc,postgresql,non-indexed,T2,Payment,django,orm,1,60,5771,0,0.0,5770.4,96.17,12.152,12.418,
tpcc,postgresql,non-indexed,T2,Payment,django,sql,1,60,16782,0,0.0,16781.0,279.68,4.114,4.596,
tpcc,postgresql,non-indexed,T2,Payment,sqlalchemy,orm,1,60,6296,0,0.0,6295.7,104.93,11.157,11.527,
tpcc,postgresql,non-indexed,T2,Payment,sqlalchemy,sql,1,60,11799,0,0.0,11798.1,196.63,5.964,6.202,
tpcc,postgresql,non-indexed,T3,Order-Status,django,orm,1,60,9687,0,0.0,9686.8,161.45,6.781,9.751,
tpcc,postgresql,non-indexed,T3,Order-Status,django,sql,1,60,18172,0,0.0,18171.7,302.86,3.433,6.247,
tpcc,postgresql,non-indexed,T3,Order-Status,sqlalchemy,orm,1,60,10365,0,0.0,10364.0,172.73,6.413,9.044,
tpcc,postgresql,non-indexed,T3,Order-Status,sqlalchemy,sql,1,60,16643,0,0.0,16642.2,277.37,3.801,6.963,
tpcc,postgresql,non-indexed,T4,Delivery,django,orm,1,60,786,0,0.0,785.2,13.09,89.003,90.398,new_order 788301 -> 780441
tpcc,postgresql,non-indexed,T4,Delivery,django,sql,1,60,2592,0,0.0,2591.9,43.2,27.406,28.511,new_order 788301 -> 762381
tpcc,postgresql,non-indexed,T4,Delivery,sqlalchemy,orm,1,60,559,0,0.0,559.0,9.32,125.035,133.579,new_order 788301 -> 782711
tpcc,postgresql,non-indexed,T4,Delivery,sqlalchemy,sql,1,60,1664,0,0.0,1663.3,27.72,42.013,43.005,new_order 788301 -> 771661
tpcc,postgresql,non-indexed,T5,Stock-Level,django,orm,1,60,7610,0,0.0,7609.5,126.82,9.145,9.5,
tpcc,postgresql,non-indexed,T5,Stock-Level,django,sql,1,60,19354,0,0.0,19352.7,322.54,3.606,3.836,
tpcc,postgresql,non-indexed,T5,Stock-Level,sqlalchemy,orm,1,60,9105,0,0.0,9104.5,151.74,7.656,8.084,
tpcc,postgresql,non-indexed,T5,Stock-Level,sqlalchemy,sql,1,60,14771,0,0.0,14770.7,246.18,4.735,4.942,
tpcc,postgresql,non-indexed,T1,New-Order,django,orm,4,60,2605,0,0.0,2601.1,43.35,107.052,152.934,
tpcc,postgresql,non-indexed,T1,New-Order,django,sql,4,60,18024,0,0.0,18019.1,300.32,15.3,21.432,
tpcc,postgresql,non-indexed,T1,New-Order,sqlalchemy,orm,4,60,2506,0,0.0,2501.6,41.69,111.745,158.009,
tpcc,postgresql,non-indexed,T1,New-Order,sqlalchemy,sql,4,60,5938,0,0.0,5935.2,98.92,46.538,66.868,
tpcc,postgresql,non-indexed,T2,Payment,django,orm,4,60,9353,0,0.0,9350.2,155.84,28.383,41.015,
tpcc,postgresql,non-indexed,T2,Payment,django,sql,4,60,57023,0,0.0,57013.7,950.23,4.347,7.733,
tpcc,postgresql,non-indexed,T2,Payment,sqlalchemy,orm,4,60,10766,0,0.0,10762.7,179.38,25.633,32.138,
tpcc,postgresql,non-indexed,T2,Payment,sqlalchemy,sql,4,60,31227,0,0.0,31220.7,520.34,8.108,13.839,
tpcc,postgresql,non-indexed,T3,Order-Status,django,orm,4,60,18353,0,0.0,18349.7,305.83,15.073,20.053,
tpcc,postgresql,non-indexed,T3,Order-Status,django,sql,4,60,49083,0,0.0,49075.0,817.92,5.255,10.297,
tpcc,postgresql,non-indexed,T3,Order-Status,sqlalchemy,orm,4,60,19783,0,0.0,19779.2,329.65,13.916,18.926,
tpcc,postgresql,non-indexed,T3,Order-Status,sqlalchemy,sql,4,60,41530,0,0.0,41526.0,692.1,6.307,11.353,
tpcc,postgresql,non-indexed,T4,Delivery,django,orm,4,60,1084,0,0.0,1080.8,18.01,248.879,410.278,new_order 817374 -> 806799
tpcc,postgresql,non-indexed,T4,Delivery,django,sql,4,60,8000,0,0.0,7990.2,133.17,30.722,58.21,new_order 817374 -> 739253
tpcc,postgresql,non-indexed,T4,Delivery,sqlalchemy,orm,4,60,946,0,0.0,942.6,15.71,281.418,475.361,new_order 817374 -> 808141
tpcc,postgresql,non-indexed,T4,Delivery,sqlalchemy,sql,4,60,3625,0,0.0,3622.1,60.37,72.052,125.407,new_order 817374 -> 782058
tpcc,postgresql,non-indexed,T5,Stock-Level,django,orm,4,60,11015,0,0.0,11012.3,183.54,24.971,31.074,
tpcc,postgresql,non-indexed,T5,Stock-Level,django,sql,4,60,51177,0,0.0,51170.4,852.84,5.344,7.306,
tpcc,postgresql,non-indexed,T5,Stock-Level,sqlalchemy,orm,4,60,13550,0,0.0,13547.4,225.79,20.293,26.019,
tpcc,postgresql,non-indexed,T5,Stock-Level,sqlalchemy,sql,4,60,32491,0,0.0,32488.4,541.47,8.414,11.006,
tpcc,postgresql,non-indexed,T1,New-Order,django,orm,8,60,2502,0,0.0,2494.9,41.58,220.686,337.925,
tpcc,postgresql,non-indexed,T1,New-Order,django,sql,8,60,22805,0,0.0,22786.1,379.77,23.974,34.975,
tpcc,postgresql,non-indexed,T1,New-Order,sqlalchemy,orm,8,60,2439,0,0.0,2435.2,40.59,226.136,345.284,
tpcc,postgresql,non-indexed,T1,New-Order,sqlalchemy,sql,8,60,5361,0,0.0,5355.5,89.26,102.96,155.724,
tpcc,postgresql,non-indexed,T2,Payment,django,orm,8,60,9119,0,0.0,9112.3,151.87,58.056,96.1,
tpcc,postgresql,non-indexed,T2,Payment,django,sql,8,60,75194,0,0.0,75176.2,1252.94,6.096,13.75,
tpcc,postgresql,non-indexed,T2,Payment,sqlalchemy,orm,8,60,10263,0,0.0,10258.5,170.98,53.197,77.389,
tpcc,postgresql,non-indexed,T2,Payment,sqlalchemy,sql,8,60,32942,0,0.0,32934.9,548.91,15.334,29.202,
tpcc,postgresql,non-indexed,T3,Order-Status,django,orm,8,60,17588,0,0.0,17581.4,293.02,30.296,50.969,
tpcc,postgresql,non-indexed,T3,Order-Status,django,sql,8,60,52222,0,0.0,52202.1,870.03,9.407,21.453,
tpcc,postgresql,non-indexed,T3,Order-Status,sqlalchemy,orm,8,60,18811,0,0.0,18803.2,313.39,28.699,45.507,
tpcc,postgresql,non-indexed,T3,Order-Status,sqlalchemy,sql,8,60,46616,0,0.0,46609.6,776.83,11.24,21.264,
tpcc,postgresql,non-indexed,T4,Delivery,django,orm,8,60,1060,0,0.0,1054.5,17.57,455.711,984.755,new_order 850481 -> 840449
tpcc,postgresql,non-indexed,T4,Delivery,django,sql,8,60,9824,0,0.0,9807.6,163.46,46.683,109.433,new_order 850481 -> 757378
tpcc,postgresql,non-indexed,T4,Delivery,sqlalchemy,orm,8,60,928,0,0.0,922.3,15.37,512.603,1143.494,new_order 850481 -> 841706
tpcc,postgresql,non-indexed,T4,Delivery,sqlalchemy,sql,8,60,3579,0,0.0,3572.7,59.54,134.328,287.0,new_order 850481 -> 816533
tpcc,postgresql,non-indexed,T5,Stock-Level,django,orm,8,60,10493,0,0.0,10487.9,174.8,50.884,85.204,
tpcc,postgresql,non-indexed,T5,Stock-Level,django,sql,8,60,59903,0,0.0,59886.1,998.1,9.015,13.578,
tpcc,postgresql,non-indexed,T5,Stock-Level,sqlalchemy,orm,8,60,12793,0,0.0,12787.2,213.12,41.649,69.275,
tpcc,postgresql,non-indexed,T5,Stock-Level,sqlalchemy,sql,8,60,28957,0,0.0,28950.2,482.5,18.47,29.198,
tpcc,postgresql,non-indexed,T1,New-Order,django,orm,16,60,2598,0,0.0,2587.9,43.13,419.052,688.149,
tpcc,postgresql,non-indexed,T1,New-Order,django,sql,16,60,18169,0,0.0,18133.8,302.23,58.805,99.543,
tpcc,postgresql,non-indexed,T1,New-Order,sqlalchemy,orm,16,60,2510,0,0.0,2496.7,41.61,434.857,701.227,
tpcc,postgresql,non-indexed,T1,New-Order,sqlalchemy,sql,16,60,5587,0,0.0,5578.2,92.97,193.485,315.227,
tpcc,postgresql,non-indexed,T2,Payment,django,orm,16,60,9106,0,0.0,9092.9,151.55,110.446,228.709,
tpcc,postgresql,non-indexed,T2,Payment,django,sql,16,60,84666,0,0.0,84584.8,1409.75,10.392,30.276,
tpcc,postgresql,non-indexed,T2,Payment,sqlalchemy,orm,16,60,10502,0,0.0,10490.9,174.85,102.327,164.229,
tpcc,postgresql,non-indexed,T2,Payment,sqlalchemy,sql,16,60,33505,0,0.0,33487.8,558.13,28.1,71.193,
tpcc,postgresql,non-indexed,T3,Order-Status,django,orm,16,60,18059,0,0.0,18036.9,300.62,58.337,106.665,
